Hex,Ethertype
0x02D7,IEEE802.3 Length Field
0x02D8,IEEE802.3 Length Field
0x02D9,IEEE802.3 Length Field
0x02DA,IEEE802.3 Length Field
0x02DB,IEEE802.3 Length Field
0x02DC,IEEE802.3 Length Field
0x02DD,IEEE802.3 Length Field
0x02DE,IEEE802.3 Length Field
0x02DF,IEEE802.3 Length Field
0x02E0,IEEE802.3 Length Field
0x02E1,IEEE802.3 Length Field
0x02E2,IEEE802.3 Length Field
0x02E3,IEEE802.3 Length Field
0x02E4,IEEE802.3 Length Field
0x02E5,IEEE802.3 Length Field
0x02E6,IEEE802.3 Length Field
0x02E7,IEEE802.3 Length Field
0x02E8,IEEE802.3 Length Field
0x02E9,IEEE802.3 Length Field
0x02EA,IEEE802.3 Length Field
0x02EB,IEEE802.3 Length Field
0x02EC,IEEE802.3 Length Field
0x02ED,IEEE802.3 Length Field
0x02EE,IEEE802.3 Length Field
0x02EF,IEEE802.3 Length Field
0x02F0,IEEE802.3 Length Field
0x02F1,IEEE802.3 Length Field
0x02F2,IEEE802.3 Length Field
0x02F3,IEEE802.3 Length Field
0x02F4,IEEE802.3 Length Field
0x02F5,IEEE802.3 Length Field
